"Protein IDs","Gene names","Protein names","MitoCarta3.0_SubMitoLocalization","MitoCarta3.0_MitoPathways","FC_TOTALS_OCIAD1","p_OCIAD1_TOTALS","sig_TOTALS_OCIAD1","LFQ_KO_TOTALS_22","LFQ_KO_TOTALS_23","LFQ_KO_TOTALS_24","LFQ_WT_TOTALS_22","LFQ_WT_TOTALS_23","LFQ_WT_TOTALS_24","missingness"
"O00116","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal",NA,NA,-0.433886983469602,0.0375895010567875,FALSE,27.7370016959965,27.8362637779058,27.883738005311,28.1605467108278,28.4599512853922,28.1381664334021,"complete"
"O00139-2;O00139-1;O00139-5;O00139;O00139-4","KIF2A","Kinesin-like protein KIF2A",NA,NA,0.503507592283064,0.0112113068572251,FALSE,25.7433637015865,25.4898936527889,25.702111360906,24.9809988847539,25.2427370819363,25.201109971742,"complete"
"O00148;O00148-2;O00148-3","DDX39A","ATP-dependent RNA helicase DDX39A",NA,NA,-1.08862959918907,0.00286931572387301,TRUE,26.5427501297085,26.1788439422507,26.3963378187414,27.3542535515331,27.5168896527136,27.5126774840211,"complete"
"O00151","PDLIM1","PDZ and LIM domain protein 1",NA,NA,1.45303726728123,0.0211434479812094,TRUE,27.5392761560556,27.6248312406376,27.3642538918007,26.4561024124135,26.1210103420627,25.592136732174,"complete"
"O00154-4;O00154-6;O00154-7;O00154;O00154-2;O00154-3","ACOT7","Cytosolic acyl coenzyme A thioester hydrolase","Matrix","Metabolism > Lipid metabolism",-0.182378841778331,0.339268747896603,FALSE,26.5359862024621,26.496711636849,26.3154423698797,26.9122598388064,26.434422107105,26.5485947886144,"complete"
"O00159-2","MYO1C","Unconventional myosin-Ic",NA,NA,0.424882877762499,0.143970478414018,FALSE,30.1335450787455,30.1795219055787,29.9190700527272,30.0284585390616,29.5276621186449,29.4013677460574,"complete"
"O00161;O00161-2","SNAP23","Synaptosomal-associated protein 23",NA,NA,-1.69044349033636,0.0395942758538516,TRUE,24.5840611177802,24.6195759531559,24.0581217584841,26.8489535706184,25.4064946536216,26.0776410761893,"complete"
"O00165;O00165-2;O00165-5;O00165-3;O00165-4;O00165-6","HAX1","HCLS1-associated protein X-1",NA,NA,-0.911194640213765,0.108363466823388,FALSE,26.1069070716011,26.3225395950729,25.7670258619649,27.6121990270475,26.3825031307234,26.9353542915093,"complete"
"O00170","AIP","AH receptor-interacting protein",NA,NA,1.01015302946867,0.0598282485595015,FALSE,26.2658370161245,25.2450394930388,25.6638661279617,24.7486341881627,24.9117359387518,24.4839134218045,"complete"
"O00178","GTPBP1","GTP-binding protein 1",NA,NA,0.785656074749166,0.0426105539215918,FALSE,25.2857229766149,25.6727303187123,25.6902634687376,24.5834939762426,25.1807974684475,24.5274570951272,"complete"
"O00186","STXBP3","Syntaxin-binding protein 3",NA,NA,0.1719920163473,0.456704899043475,FALSE,24.5561612817588,25.1753138879707,24.8950992927676,24.7864300793072,24.8072796741828,24.5168886599652,"complete"
"O00192-2;O00192","ARVCF","Armadillo repeat protein deleted in velo-cardio-facial syndrome",NA,NA,0.797643473748565,0.100215439782227,FALSE,24.1451491721798,24.4909975584906,23.9650101832986,23.9989037825242,23.179881976662,23.0294407335371,"complete"
"O00193","SMAP","Small acidic protein",NA,NA,0.721403904041569,0.177217364956292,FALSE,25.782318042271,24.8407908804995,24.8046494916633,25.0241491342134,24.0669427138337,24.172454854262,"complete"
"O00203-3;O00203;Q13367-3;Q13367;Q13367-4","AP3B1","AP-3 complex subunit beta-1",NA,NA,0.515387611068967,0.00605935198193285,FALSE,29.8998428416998,30.1243219647725,30.012666223728,29.539605401423,29.5181345522725,29.4329282432979,"complete"
"O00214;O00214-2","LGALS8","Galectin-8",NA,NA,-1.10026306029318,0.0303167956053719,TRUE,22.8312690953236,23.1411531589919,NA,23.9667473824266,24.5423515455733,23.7503236343529,NA
"O00217","NDUFS8","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial","MIM","OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits",-0.159932032533234,0.631232220825025,FALSE,27.9643746880309,28.2395537976709,27.7872360676473,28.6086211050022,27.6786280849437,28.1837114610029,"complete"
"O00220","TNFRSF10A","Tumor necrosis factor receptor superfamily member 10A",NA,NA,-2.63076027517927,0.112825700649098,FALSE,23.2114662299056,19.8813288667425,21.1621774560217,24.1364785222707,24.0598742456566,23.9509006102803,"MNAR"
"O00231;O00231-2","PSMD11","26S proteasome non-ATPase regulatory subunit 11",NA,NA,0.337967012260265,0.0240828523613392,FALSE,27.6547716057416,27.7844915232334,27.6786626665019,27.469248183385,27.4057540555888,27.2290225197223,"complete"
"O00232;O00232-2","PSMD12","26S proteasome non-ATPase regulatory subunit 12",NA,NA,0.5281707105134,0.11364802446833,FALSE,26.2342698065329,26.1364568367022,25.9563194468837,25.9484177729841,25.5699643098474,25.2241518757471,"complete"
"O00255-3;O00255-2;O00255","MEN1","Menin",NA,NA,-0.349547507145768,0.0546779834617089,FALSE,24.0833966218972,23.9265240199752,24.0105658881654,24.3648880182026,24.5244903791381,24.1797506541344,"MAR"
"O00264;O00264-2","PGRMC1","Membrane-associated progesterone receptor component 1",NA,NA,-0.437872098311331,0.113062620937186,FALSE,27.3149001729094,27.8856922534459,27.7736014179477,27.9540464963567,28.3001827370402,28.0335809058401,"complete"
"O00267-2;O00267","SUPT5H","Transcription elongation factor SPT5",NA,NA,-0.363463872159869,0.183315124295847,FALSE,26.7733755251323,26.1409797926428,26.4246517745894,26.7686451714493,26.8517499069618,26.809003630433,"complete"
"O00273;O00273-2","DFFA","DNA fragmentation factor subunit alpha",NA,NA,1.54299913063683,0.00235308716438415,TRUE,25.767661957159,25.624523614265,25.479807664229,24.3640942404134,23.8618724267949,24.0170291765342,"complete"
"O00291;O00291-4;O00291-3","HIP1","Huntingtin-interacting protein 1",NA,NA,0.446227493528497,0.151436040748722,FALSE,24.3151946204623,25.0090195731667,24.8111200100851,24.1743259258665,24.4273837562826,24.1949420409795,"complete"
"O00299","CLIC1","Chloride intracellular channel protein 1",NA,NA,0.143152245093834,0.622019919789551,FALSE,28.6290416349409,28.3089710540787,28.1660209832559,28.570068240174,27.8006549790236,28.3038537177964,"complete"
"O00303","EIF3F","Eukaryotic translation initiation factor 3 subunit F",NA,NA,0.502590924071264,0.103171263365381,FALSE,28.2622450105882,28.189583728534,27.9810383582178,27.9504901331724,27.2922300727412,27.6823741192126,"complete"
"O00330;O00330-3;O00330-2","PDHX","Pyruvate dehydrogenase protein X component, mitochondrial","Matrix","Metabolism > Carbohydrate metabolism > Pyruvate metabolism",-0.243409358899598,0.412704850555015,FALSE,26.7628046919346,26.5985269634288,26.3692572735584,27.2124778661954,26.4199828073988,26.8283563320264,"complete"
"O00401","WASL","Neural Wiskott-Aldrich syndrome protein",NA,NA,-0.133522640623035,0.818747683818417,FALSE,24.6889392570435,24.3242541697987,24.5530053702336,24.3368042546136,23.9824970268486,25.6474654374827,"MAR"
"O00410;O00410-3;O00410-2","IPO5","Importin-5",NA,NA,-0.0426150309790003,0.803985533097894,FALSE,27.7424977654025,27.6743025162794,27.5243755074279,27.9201436698978,27.4297518148374,27.7191253973116,"complete"
"O00411","POLRMT","DNA-directed RNA polymerase, mitochondrial","Matrix","Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription",0.582500087151999,0.0982258028578481,FALSE,28.1084603942176,28.6962294714725,28.6336181523116,27.710102145526,28.2902093739975,27.6904962370222,"complete"
"O00422-2;O00422","SAP18","Histone deacetylase complex subunit SAP18",NA,NA,-0.146572868217735,0.509839846187392,FALSE,27.8128785405574,27.9805982682495,28.1156948183179,27.8641447479657,28.4533971555052,28.0313483283071,"complete"
"O00425;O00425-2","IGF2BP3","Insulin-like growth factor 2 mRNA-binding protein 3",NA,NA,-0.519838479629001,0.117145927877749,FALSE,26.7968825972676,26.8177510258106,27.0966684640515,27.0199217719777,27.7317784324876,27.5191173215514,"complete"
"O00429-3;O00429;O00429-5;O00429-2;O00429-6;O00429-8;O00429-7","DNM1L","Dynamin-1-like protein","MOM","Mitochondrial dynamics and surveillance > Fission",-0.147917931007399,0.201768233356377,FALSE,25.3688530554807,25.5416522590014,25.3685217558739,25.7216229372069,25.4667942503877,25.5343636757836,"complete"
"O00442;O00442-2","RTCA","RNA 3-terminal phosphate cyclase",NA,NA,0.594838143697064,0.160884061057352,FALSE,24.717616712713,25.6483138249345,25.4618134393441,24.4461627672563,24.9769172136068,24.6201495650373,"complete"
"O00461","GOLIM4","Golgi integral membrane protein 4",NA,NA,0.729697262042801,0.0321953155879253,FALSE,26.1085586555139,26.0853542489731,25.9578253071732,25.5628986230988,25.361765037751,25.037982764682,"complete"
"O00468-6;O00468-7;O00468-3;O00468-5;O00468-4;O00468;O00468-2","AGRN","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",NA,NA,0.809814600978267,0.129320622023934,FALSE,23.7011094599316,23.9416496621504,23.412476135868,23.4410480337,22.2494181314958,22.9353252898194,"complete"
"O00469-2;O00469;O00469-3","PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",NA,NA,1.56779337260397,0.00281794862942236,TRUE,27.1248671332835,27.1464311098415,27.310353662307,25.3998081005869,25.8722352292966,25.6062284577366,"complete"
"O00471","EXOC5","Exocyst complex component 5",NA,NA,1.11258827505337,0.034207519004213,TRUE,24.6237781981577,23.8236701548524,24.0573436233776,23.1675045792582,22.9288309837195,23.0706915882499,"complete"
"O00483","NDUFA4","Cytochrome c oxidase subunit NDUFA4","MIM","OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits",0.501021006723434,0.155191668503961,FALSE,27.7347612732694,28.4089153221999,28.234911376063,27.5642328630164,28.0033486518995,27.3079434364461,"complete"
"O00487","PSMD14","26S proteasome non-ATPase regulatory subunit 14",NA,NA,0.802831280013798,0.00109781422173914,FALSE,27.028163383695,26.8125959199397,26.8202860353154,26.2044464122107,26.0377226697985,26.0103824168995,"complete"
"O00505","KPNA3","Importin subunit alpha-4",NA,NA,0.088527135471864,0.818310147698838,FALSE,26.6676627878015,25.9440794513556,26.1285596870006,26.4179016623504,26.4702164230691,25.5866024343226,"complete"
"O00541;O00541-2","PES1","Pescadillo homolog",NA,NA,-0.311718352672468,0.603277393219007,FALSE,26.4475852865159,26.3991855445869,27.0814596599462,26.0217171406839,27.6614219664146,27.1802464419679,"complete"
"O00560-2","SDCBP","Syntenin-1",NA,NA,-0.381217708379701,0.432045750429807,FALSE,23.7401857023135,23.6913849881265,NA,24.8475845388874,23.9090610355644,23.5343635863473,NA
"O00560;O00560-3","SDCBP","Syntenin-1",NA,NA,-0.634315476913869,0.0419892896900704,FALSE,26.8321631208445,26.2779955488995,26.4071554269299,27.3014332473803,27.1602855359219,26.9585417441133,"complete"
"O00566","MPHOSPH10","U3 small nucleolar ribonucleoprotein protein MPP10",NA,NA,-1.14825872862707,0.104156179343487,FALSE,25.6962464462742,24.6635857309337,25.6036096814016,25.785257418323,27.249686131506,26.3732744946617,"complete"
"O00567","NOP56","Nucleolar protein 56",NA,NA,-0.0245951099129655,0.965356060362573,FALSE,27.9017663392014,27.879685546834,28.5206984793512,27.26000985321,28.8906846249772,28.2252412169383,"complete"
"O00571;O00571-2;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0","DDX3X;DDX3Y","ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y",NA,NA,-0.216414667667767,0.401175531671574,FALSE,28.4335614904042,28.6001437747225,28.7955430807962,28.4677759035594,29.1440250395534,28.8666914058134,"complete"
"O00584;O00584-2","RNASET2","Ribonuclease T2",NA,NA,0.931376236490934,0.0311977982834972,FALSE,26.107454296818,25.5200531483191,25.5143293744573,25.0836506726529,24.3856046421024,24.8784527953663,"complete"
"O00629","KPNA4","Importin subunit alpha-3",NA,NA,0.732302900072398,0.00281865797601263,FALSE,26.5288745582435,26.4334581170688,26.5519764781172,25.6414129529058,25.7905069681243,25.8854805321822,"complete"
"O00743-2;O00743;O00743-3","PPP6C","Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",NA,NA,0.876701639335568,0.151993697091997,FALSE,26.9032025970631,26.1516775021697,25.9846575219797,26.2173202929797,25.3104821550808,24.8816302551453,"complete"
"O00746;O00746-2","NME4","Nucleoside diphosphate kinase, mitochondrial","MIM","Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing",0.0591904904806704,0.741886009543789,FALSE,25.0642619538345,25.1293651502083,24.9080336741914,25.271038744284,24.8476135458655,24.8054370166427,"complete"
"O00754-2;O00754","MAN2B1","Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide",NA,NA,0.646986751351367,0.0781794299104901,FALSE,26.7446867000269,26.4181432208145,26.2578090431753,26.262631468113,25.6177054266789,25.5993418151707,"complete"
"O00762;O00762-2;O00762-4;O00762-3","UBE2C","Ubiquitin-conjugating enzyme E2 C",NA,NA,2.3026965076765,0.115436538847388,FALSE,24.3646393746846,24.0465142754939,24.3186948214209,22.0746739908493,23.37029624298,20.3767887147406,"MNAR"
"O00764;O00764-3;O00764-2","PDXK","Pyridoxal kinase",NA,NA,1.0403692942972,0.0079461616481512,TRUE,25.5544713993592,25.3194401725616,25.2226862192642,24.5707022835825,24.0360302857644,24.3687573389465,"complete"
"O00767","SCD","Acyl-CoA desaturase",NA,NA,-0.292472767245052,0.450415409785264,FALSE,25.0659648835572,25.0604627292135,NA,24.7470997325585,25.7968036405797,25.523156347753,NA
"O14497;O14497-2;O14497-3","ARID1A","AT-rich interactive domain-containing protein 1A",NA,NA,0.8889333621199,0.000297076005782997,FALSE,24.50887253609,24.5474118695846,24.5847851153679,23.5884804880095,23.7318860020881,23.6539029445852,"complete"
"O14521-2;O14521;O14521-4","SDHD","Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial","MIM","OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits",-0.679322999939881,0.707584308985563,FALSE,24.7931261754126,22.0512452149623,NA,23.3259651468469,24.4681997840036,24.5103611545315,NA
"O14524-2;O14524","TMEM194A","Transmembrane protein 194A",NA,NA,-0.723805151978631,0.343473989408471,FALSE,23.914925372708,23.6382377283391,24.4708722120046,23.794532532458,25.7983805736494,24.6025376628802,"complete"
"O14548","COX7A2L","Cytochrome c oxidase subunit 7A-related protein, mitochondrial","MIM","OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits | OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly",-1.07655072669451,0.18408859577755,FALSE,25.2230475991534,26.0876353909821,NA,26.3026201928764,27.2175413267421,26.6755151456683,NA
"O14561","NDUFAB1","Acyl carrier protein, mitochondrial","MIM","OXPHOS > Complex I > CI subunits | Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | OXPHOS > OXPHOS subunits",-0.228777885819536,0.512097366092964,FALSE,26.5271155083467,26.099571448103,25.9487896010703,26.9271568416107,26.2811795795714,26.0534737937965,"complete"
"O14579;O14579-3;O14579-2","COPE","Coatomer subunit epsilon",NA,NA,0.491003029883331,0.0607857292528934,FALSE,26.0974907026643,25.8691777643466,25.9162758706999,25.5903346447022,25.6425025077414,25.1770980956172,"complete"
"O14617;O14617-5;O14617-4;O14617-2;O14617-3","AP3D1","AP-3 complex subunit delta-1",NA,NA,0.0595186758176993,0.556093639345007,FALSE,25.5916319703459,25.3137510440012,25.4782803640486,25.3266665691643,25.459500000911,25.4189407808673,"complete"
"O14639-3;O14639-5;O14639-2;O14639-6;O14639;O14639-4","ABLIM1","Actin-binding LIM protein 1",NA,NA,3.90009672475477,0.0687282271821228,FALSE,24.755583952102,25.0721701256668,25.3875694254086,20.1161348366726,20.0074767900418,23.3914217021987,"MNAR"
"O14641","DVL2","Segment polarity protein dishevelled homolog DVL-2",NA,NA,0.6168652704328,0.02723613809481,FALSE,24.1453590183369,24.4973298435296,24.5096252913688,23.7295277397464,NA,23.8049511548782,NA
"O14646-2;O14646","CHD1","Chromodomain-helicase-DNA-binding protein 1",NA,NA,0.416900585811035,0.378858060467706,FALSE,30.5039715787075,30.1442435424354,30.7801577322598,29.3491392015039,30.5175938245438,30.3109380699219,"complete"
"O14653-2;O14653;O14653-3","GOSR2","Golgi SNAP receptor complex member 2",NA,NA,-0.477724727340032,0.022221307418341,FALSE,24.898112029258,25.2381760598833,25.0461268853209,25.6329591520952,25.536851353692,25.4457786506951,"MAR"
"O14654","IRS4","Insulin receptor substrate 4",NA,NA,-3.7665093863738,0.000673637398119151,TRUE,23.8243735118504,24.5528440620066,24.3216941026125,28.0258845639144,28.4811949965687,27.4913602751078,"MNAR"
"O14656;O14656-2","TOR1A","Torsin-1A",NA,NA,-0.183709272459502,0.420438976574907,FALSE,24.8141754091085,25.1309099505761,25.1468161316851,25.0631108379954,25.5519807287835,25.0279377419693,"complete"
"O14657","TOR1B","Torsin-1B",NA,NA,-0.678217112484333,0.00477366402569138,FALSE,24.0038758271246,23.7466779561061,23.8050284522635,24.6265414916835,24.6106596851774,24.3530323960863,"complete"
"O14662-2;O14662-4;O14662-5;O14662;O14662-6;O14662-3","STX16","Syntaxin-16",NA,NA,0.681115460871286,0.0050135139917191,FALSE,24.3928321100287,24.5769573186698,24.4118358657484,NA,23.723103654265,23.8357489536237,NA
"O14672;O14672-2","ADAM10","Disintegrin and metalloproteinase domain-containing protein 10",NA,NA,-0.399132410703835,0.0690883140968053,FALSE,24.606911948664,25.046395863698,24.7882270080014,25.3414208470137,25.171423946354,25.1260872591072,"complete"
"O14681;O14681-3","EI24","Etoposide-induced protein 2.4 homolog",NA,NA,0.091913066251351,0.818468448516923,FALSE,24.0729950581308,25.2672043735562,24.8172931738915,NA,24.5563912691373,24.698111002079,NA
"O14727-3;O14727-4;O14727-2;O14727;O14727-5;O14727-6","APAF1","Apoptotic protease-activating factor 1",NA,NA,1.01929058974193,0.0851949228101271,FALSE,23.2149449065194,23.5674273212714,23.9150843445625,21.8357867758037,22.979319349207,22.8244786781168,"complete"
"O14734","ACOT8","Acyl-coenzyme A thioesterase 8",NA,NA,-0.386394676367033,0.124238070096216,FALSE,25.7943312517837,26.2935684130721,25.9381262758824,26.6446799890976,26.3427486867047,26.197781294037,"complete"
"O14737;O14737-2","PDCD5","Programmed cell death protein 5",NA,NA,0.265535130335401,0.0271132487325139,FALSE,27.9187731153263,27.8696256794381,27.891768230297,27.6443484277593,27.7059810894633,27.5332321168326,"complete"
"O14744;O14744-2;O14744-5;O14744-4;O14744-3","PRMT5","Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",NA,NA,0.176524152283299,0.306017527834998,FALSE,25.9921235334375,25.8600586321489,25.7972077092035,25.9109183637909,25.7402269725645,25.4686720815846,"complete"
"O14745;O14745-2","SLC9A3R1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1",NA,NA,0.135079237829267,0.16559299075345,FALSE,24.9513595262373,24.9463563888334,24.8583352306027,24.9138217278793,24.7010210923559,24.7359706119504,"complete"
"O14763;O14763-2;O14763-3","TNFRSF10B","Tumor necrosis factor receptor superfamily member 10B",NA,NA,1.3058209450686,0.010385429347945,TRUE,24.7624881873417,25.2934092475002,25.3152889352035,23.5343344272233,24.240005664733,23.6793834428833,"complete"
"O14773;O14773-2","TPP1","Tripeptidyl-peptidase 1",NA,NA,2.4229055433707,0.000313301482969387,TRUE,27.5549025460102,27.7273658964045,27.7063207963598,25.2122727623993,25.4406321167249,25.0669677295382,"complete"
"O14776;O14776-2;Q5VWI1","TCERG1","Transcription elongation regulator 1",NA,NA,0.012761954488667,0.964520708106168,FALSE,28.0200288375589,27.8634200057059,28.2457747076893,27.5535111978507,28.2699312485252,28.2674952411122,"complete"
"O14777","NDC80","Kinetochore protein NDC80 homolog",NA,NA,0.729573833528967,0.181664013784621,FALSE,25.0511888122692,25.3156472967011,25.52230864769,24.2371098507707,25.3138240435712,24.1494893617315,"complete"
"O14786;O14786-3;O14786-2","NRP1","Neuropilin-1",NA,NA,-2.48305916829877,0.003678634906266,TRUE,22.7689340888211,22.9073542760269,22.8062873402643,25.4465652216536,25.5318133715427,24.9533746168123,"complete"
"O14787-2;O14787","TNPO2","Transportin-2",NA,NA,1.4308231866179,0.12670414556127,FALSE,25.6040352917577,23.5643759105528,24.4170212741273,22.972332950786,22.8641012448758,23.4565287209223,"MAR"
"O14802","POLR3A","DNA-directed RNA polymerase III subunit RPC1",NA,NA,0.633909195064497,0.0698594852973972,FALSE,24.5499448079775,24.7482669643303,24.9140428027096,23.7908036948135,24.4856908147533,24.0340324802571,"complete"
"O14818;O14818-4;O14818-2;Q8TAA3-2;Q8TAA3-5;Q8TAA3","PSMA7","Proteasome subunit alpha type-7",NA,NA,0.231826122219633,0.0449308867360294,FALSE,27.6295599567529,27.4754138379249,27.457008482114,27.4013291748354,27.2032166609506,27.2619580743469,"complete"
"O14828;O14828-2","SCAMP3","Secretory carrier-associated membrane protein 3",NA,NA,-0.157924862219168,0.446381616426729,FALSE,27.0181706508007,27.0313213243635,27.1960002246062,27.0397249776583,27.5682779668354,27.1112638419342,"complete"
"O14874;O14874-3;O14874-2","BCKDK","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial","Matrix","Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex",0.926911533731701,0.00779979595031726,FALSE,26.8429873157406,27.1574656538497,27.2029359065903,25.9217193670085,26.4050043399634,26.0959305680136,"complete"
"O14880","MGST3","Microsomal glutathione S-transferase 3","MOM","Metabolism > Lipid metabolism > Eicosanoid metabolism",0.469185484028234,0.155688337357084,FALSE,28.8354101555537,29.0182767603159,28.7434650670832,28.7504335923956,28.4455910623858,27.9935708760867,"complete"
"O14893-5;O14893;O14893-3;O14893-2","GEMIN2","Gem-associated protein 2",NA,NA,1.0332543037704,0.053907346583861,FALSE,23.3608902785137,23.5767677244862,23.8356173517092,22.123017676292,23.1173081667736,22.4331866003323,"complete"
