"Protein IDs","Gene names","Protein names","MitoCarta3.0_SubMitoLocalization","MitoCarta3.0_MitoPathways","FC_MITOS_OCIAD1","p_OCIAD1_MITOS","sig_MITOS_OCIAD1","LFQ_KO_MITOS_22","LFQ_KO_MITOS_23","LFQ_KO_MITOS_24","LFQ_WT_MITOS_22","LFQ_WT_MITOS_23","LFQ_WT_MITOS_24","missingness"
"O00154-4;O00154-6;O00154-7;O00154;O00154-2;O00154-3","ACOT7","Cytosolic acyl coenzyme A thioester hydrolase","Matrix","Metabolism > Lipid metabolism",0.00872396358486682,0.944229204756928,FALSE,24.7117558627313,24.8799725627522,24.8764127312871,24.9281631868568,24.6127881445116,24.9010179346476,"complete"
"O00159-2","MYO1C","Unconventional myosin-Ic",NA,NA,0.5166242002175,0.0854549435530785,FALSE,31.3713654945863,31.0086710018152,30.9734977670058,30.2431882172339,30.7908204700401,30.7696529754808,"complete"
"O00161;O00161-2","SNAP23","Synaptosomal-associated protein 23",NA,NA,-0.970716525424933,0.00189104828818658,FALSE,26.1631787170002,26.1833674364787,25.9099821848457,27.0243893910532,26.9896757917598,27.1546127317864,"complete"
"O00165;O00165-2;O00165-5;O00165-3;O00165-4;O00165-6","HAX1","HCLS1-associated protein X-1",NA,NA,-0.592698383820768,0.0053393040450874,FALSE,26.9359985016237,27.0964224153373,27.068374906824,27.7828008370411,27.5479501679751,27.5481399702311,"complete"
"O00170","AIP","AH receptor-interacting protein",NA,NA,-0.391748409938465,0.0649951280795289,FALSE,22.8314173331789,23.0927568878613,22.9377396516338,23.5912996788296,23.221218955049,23.2246404686108,"complete"
"O00178","GTPBP1","GTP-binding protein 1",NA,NA,-0.0509595580512183,0.828058968386357,FALSE,NA,23.6186687828657,23.894565980341,23.60620767274,24.1335317186743,23.6829914275494,NA
"O00186","STXBP3","Syntaxin-binding protein 3",NA,NA,-0.349167298380166,0.111816961827563,FALSE,25.8036165199953,25.5179375167597,25.5069365948967,25.6942622263538,26.1442160655565,26.0375142348819,"complete"
"O00192-2;O00192","ARVCF","Armadillo repeat protein deleted in velo-cardio-facial syndrome",NA,NA,0.886496528407836,0.209199777646555,FALSE,26.121416229341,25.1491299751256,24.9931992836476,23.6290781574948,25.1795407387029,24.795637006693,"complete"
"O00203-3;O00203;Q13367-3;Q13367;Q13367-4","AP3B1","AP-3 complex subunit beta-1",NA,NA,0.301898114980165,0.320983258007629,FALSE,29.5826029798972,29.4547533289518,29.389178092399,28.9205308620596,28.9644743421772,29.6358348520707,"complete"
"O00214;O00214-2","LGALS8","Galectin-8",NA,NA,-0.969107546583032,0.0114589405105468,FALSE,23.8512371812943,24.0911548759586,23.7497568703561,25.1344615138805,24.8930871448489,24.5719229086287,"complete"
"O00217","NDUFS8","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial","MIM","OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits",-0.0571502086732671,0.674583448973151,FALSE,29.1835387094617,29.2517242644448,29.4312818776918,29.476554124631,29.4152466654382,29.1461946875489,"complete"
"O00220","TNFRSF10A","Tumor necrosis factor receptor superfamily member 10A",NA,NA,-1.34218259252045,0.0353676129594396,TRUE,NA,23.2205560170527,23.635484566238,24.1703955989215,24.9983584862409,25.141854567335,NA
"O00231;O00231-2","PSMD11","26S proteasome non-ATPase regulatory subunit 11",NA,NA,0.114793655280099,0.517050615166455,FALSE,25.8011356129229,25.6778654096326,25.5739917418282,25.3751873272495,25.4896382944548,25.8437861768391,"complete"
"O00232;O00232-2","PSMD12","26S proteasome non-ATPase regulatory subunit 12",NA,NA,0.534714756542467,0.200999055816901,FALSE,24.5181051622767,24.2965677436509,24.0230331799994,23.3647776836141,23.55119982166,24.3175843110255,"complete"
"O00264;O00264-2","PGRMC1","Membrane-associated progesterone receptor component 1",NA,NA,-0.542335659831735,0.0135530749743371,FALSE,27.9130637524797,27.9034489097206,27.96729556362,28.421907287155,28.3726524139297,28.6162555042308,"complete"
"O00267-2;O00267","SUPT5H","Transcription elongation factor SPT5",NA,NA,1.09905563057973,0.0303979411761268,TRUE,23.7175574386543,23.6713763381744,23.8349537280101,22.7395514235834,22.9530687511184,22.2341004383978,"MAR"
"O00291;O00291-4;O00291-3","HIP1","Huntingtin-interacting protein 1",NA,NA,-0.120178547214802,0.690157661807129,FALSE,26.3293896620138,25.9140385602957,25.7072548824666,25.6804330583699,26.3278605824064,26.3029251056442,"complete"
"O00299","CLIC1","Chloride intracellular channel protein 1",NA,NA,-0.316580477561502,0.0382656561913907,FALSE,25.805979293091,25.8304672432967,26.0564747937693,26.2304687399447,26.1335363266533,26.2786576962435,"complete"
"O00303","EIF3F","Eukaryotic translation initiation factor 3 subunit F",NA,NA,0.107157897292069,0.665924996038534,FALSE,26.6458337842213,26.2484847469779,26.5033613248368,25.9724146070324,26.5144087075001,26.5893828496273,"complete"
"O00330;O00330-3;O00330-2","PDHX","Pyruvate dehydrogenase protein X component, mitochondrial","Matrix","Metabolism > Carbohydrate metabolism > Pyruvate metabolism",0.4569460449909,0.0644449507316996,FALSE,27.5688420819075,27.562160625639,27.9349836594115,27.2536865979561,27.2166758695261,27.2247857645031,"complete"
"O00410;O00410-3;O00410-2","IPO5","Importin-5",NA,NA,0.140096996531902,0.16921080675923,FALSE,26.6556924394112,26.7086109482604,26.801989724699,26.5997612268532,26.4564267715805,26.6898141243412,"complete"
"O00411","POLRMT","DNA-directed RNA polymerase, mitochondrial","Matrix","Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription",0.439590154350199,0.00429501773910826,FALSE,29.7825309203936,29.8858062274485,29.9658207582612,29.5451936068699,29.3797064560538,29.390487380129,"complete"
"O00425;O00425-2","IGF2BP3","Insulin-like growth factor 2 mRNA-binding protein 3",NA,NA,-0.143890463111532,0.723811325746347,FALSE,26.0663862853879,25.5408432643521,25.9189678699334,25.397477900968,26.0068298574104,26.5535610506296,"complete"
"O00429-3;O00429;O00429-5;O00429-2;O00429-6;O00429-8;O00429-7","DNM1L","Dynamin-1-like protein","MOM","Mitochondrial dynamics and surveillance > Fission",-0.710364841208435,0.00693978415565636,FALSE,24.6654519704524,24.7764808807831,25.0099268048402,25.653896821611,25.4576789946889,25.4713783634011,"complete"
"O00442;O00442-2","RTCA","RNA 3-terminal phosphate cyclase",NA,NA,0.169600751227097,0.562790249479448,FALSE,NA,23.8455906026897,23.4546070363225,23.1695595038163,23.6897631498139,23.5821715512068,NA
"O00461","GOLIM4","Golgi integral membrane protein 4",NA,NA,1.47803838287523,0.0150949288590834,TRUE,26.678285104356,26.4746746531198,26.5010718277823,24.7745889384866,24.9477457088754,25.4975817892704,"complete"
"O00468-6;O00468-7;O00468-3;O00468-5;O00468-4;O00468;O00468-2","AGRN","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",NA,NA,0.994884373313333,0.01639277902085,FALSE,25.356840207444,25.4632438086197,25.9685952019852,24.6776467322899,24.3700717278227,24.7563076379963,"complete"
"O00469-2;O00469;O00469-3","PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",NA,NA,1.45820523651507,0.00833589716085957,TRUE,28.3487373294239,27.9382609495664,28.278262644034,26.3134445064566,26.8337895050714,27.0434112019511,"complete"
"O00471","EXOC5","Exocyst complex component 5",NA,NA,0.0497268365576673,0.885704078306209,FALSE,26.4407332753708,25.9917751244277,25.953805105082,25.5647615614126,26.1512043154182,26.5211671183767,"complete"
"O00483","NDUFA4","Cytochrome c oxidase subunit NDUFA4","MIM","OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits",0.104530086161432,0.503093917170099,FALSE,29.1221010220517,29.363879726886,29.3409324008792,29.4048343507447,29.0438532768654,29.0646352637225,"complete"
"O00487","PSMD14","26S proteasome non-ATPase regulatory subunit 14",NA,NA,-0.206890534732999,0.0282874567548806,FALSE,24.2023729953257,24.2063914303692,24.1128270463064,24.3491658114787,24.3189564869532,24.4741407777684,"complete"
"O00505","KPNA3","Importin subunit alpha-4",NA,NA,0.149727530982787,0.696174259965442,FALSE,23.9363678643221,23.6402644797439,24.6101623366054,23.7154549368509,NA,24.1096197882978,NA
"O00541;O00541-2","PES1","Pescadillo homolog",NA,NA,0.897673525293435,0.0600860189797907,FALSE,23.7785204171852,23.7180566283884,22.9375697300486,22.3907372419997,22.4900235055534,22.8603654521888,"MAR"
"O00560-2","SDCBP","Syntenin-1",NA,NA,-0.4185745815582,0.0410234892837657,FALSE,23.7683418825115,23.9846514372386,23.9901838614261,24.5521833562855,24.2362394200961,24.2104781494692,"complete"
"O00560;O00560-3","SDCBP","Syntenin-1",NA,NA,-0.662646822141333,0.00126235511664394,FALSE,27.099842590415,27.0324933246065,27.1171101006084,27.6671263662003,27.7330179773007,27.8372421385529,"complete"
"O00566","MPHOSPH10","U3 small nucleolar ribonucleoprotein protein MPP10",NA,NA,1.45885245745717,0.00404911114836434,TRUE,22.8598979937075,22.5591409817435,23.1564050880773,21.2491085345748,21.7491286647836,21.2006494917984,"MAR"
"O00567","NOP56","Nucleolar protein 56",NA,NA,0.413928596146032,0.332019520398715,FALSE,23.799649444416,23.819538263372,24.7895469907355,23.8367248889498,23.7109064120513,23.6193176090843,"complete"
"O00571;O00571-2;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0","DDX3X;DDX3Y","ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y",NA,NA,-0.111682440112201,0.461387678635116,FALSE,27.6423554677974,27.5389184833079,27.7396387828386,27.6070755397448,27.6619225194956,27.9869619950401,"complete"
"O00584;O00584-2","RNASET2","Ribonuclease T2",NA,NA,0.0859958286468014,0.751797658969509,FALSE,27.7395788661841,27.2725952549515,27.5101058703917,27.0180415384829,27.7330980747594,27.5131528923446,"complete"
"O00623","PEX12","Peroxisome assembly protein 12",NA,NA,-3.2416674590505,0.000271956466331168,TRUE,21.3701555485918,21.6220439239255,22.0176685481417,25.1538029535227,24.6824348904161,24.8986325538717,"MNAR"
"O00743-2;O00743;O00743-3","PPP6C","Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",NA,NA,0.149188475774551,0.388151864780727,FALSE,24.1187678852638,24.343376821954,23.8742004621532,NA,24.0034062712972,23.9224468900677,NA
"O00746;O00746-2","NME4","Nucleoside diphosphate kinase, mitochondrial","MIM","Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing",0.463709951812699,0.0490530001370454,FALSE,26.7214959796969,26.8992335387369,27.1599018238691,26.6646240783001,26.3749269352436,26.3499504733211,"complete"
"O00754-2;O00754","MAN2B1","Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide",NA,NA,0.298384236182702,0.198067792847628,FALSE,27.8632074582524,27.5491818513443,27.5743146235176,27.1157706230609,27.6560556186314,27.3197249828739,"complete"
"O00767","SCD","Acyl-CoA desaturase",NA,NA,-0.0692552098509687,0.841510679271147,FALSE,25.4773916399644,25.0257635843852,NA,24.8851605052811,25.5240421714262,25.55329578937,NA
"O14521-2;O14521;O14521-4","SDHD","Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial","MIM","OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits",1.51332803332212,0.138864324291873,FALSE,24.3084554384361,23.7563458699849,23.6280064863355,21.929731330853,22.8388177990071,NA,NA
"O14523;O14523-2","C2CD2L","C2 domain-containing protein 2-like",NA,NA,-0.875741513145833,0.044154346510168,FALSE,NA,23.4086661158443,23.2421821753243,24.1517079952567,24.600222612792,23.8515663681417,NA
"O14524-2;O14524","TMEM194A","Transmembrane protein 194A",NA,NA,0.234891391534667,0.417494920857068,FALSE,24.0193253364786,24.3239895955543,23.8855595653436,23.9782928381861,23.41483191023,24.1310755743564,"MAR"
"O14548","COX7A2L","Cytochrome c oxidase subunit 7A-related protein, mitochondrial","MIM","OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits | OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly",-1.11417465203417,0.00125735094117588,TRUE,26.3309663122672,26.5358829887607,26.5736097553233,27.7947724961776,27.4790531390435,27.5091573772326,"complete"
"O14561","NDUFAB1","Acyl carrier protein, mitochondrial","MIM","OXPHOS > Complex I > CI subunits | Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | OXPHOS > OXPHOS subunits",0.208335564653801,0.402077442821891,FALSE,26.0648132701482,26.3952629217816,26.5145377923714,26.4647497593279,25.9742647665907,25.9105927644212,"complete"
"O14569","CYB561D2","Cytochrome b561 domain-containing protein 2",NA,NA,3.11727059138847,3.2227095823473e-06,TRUE,24.2171960170456,24.2711403426196,24.2860940276043,21.1749600921894,21.0670278220749,21.1806306988398,"MNAR"
"O14578;O14578-4;O14578-3;O14578-2","CIT","Citron Rho-interacting kinase",NA,NA,-0.233472319483266,0.337841236900092,FALSE,24.6065675499372,24.3086225095182,24.7904699949065,24.5056199151033,24.8386094925093,25.0618476051991,"complete"
"O14579;O14579-3;O14579-2","COPE","Coatomer subunit epsilon",NA,NA,-0.257447151648517,0.787487041564207,FALSE,23.0303651791422,22.4620860396796,22.6123928500062,22.2193503355013,NA,23.6987733470144,NA
"O14617;O14617-5;O14617-4;O14617-2;O14617-3","AP3D1","AP-3 complex subunit delta-1",NA,NA,-0.86327263554,0.104912550088938,FALSE,23.99122401844,23.5371165530658,23.9651423523415,24.1579578433279,24.6263708833814,25.298972103758,"complete"
"O14639-3;O14639-5;O14639-2;O14639-6;O14639;O14639-4","ABLIM1","Actin-binding LIM protein 1",NA,NA,1.28765583963983,0.0198556206230625,TRUE,25.095391572025,24.5988123478777,24.3214399477226,22.876241844249,23.6546094751605,23.6218250292963,"complete"
"O14641","DVL2","Segment polarity protein dishevelled homolog DVL-2",NA,NA,-0.446484645333452,0.358632075953556,FALSE,23.6893930006704,23.8676010634729,NA,24.6065608997145,24.5981825388303,23.4702015936705,NA
"O14653-2;O14653;O14653-3","GOSR2","Golgi SNAP receptor complex member 2",NA,NA,-0.897561911875901,0.00115823654576023,FALSE,24.8667393827923,24.9776364297582,24.7568702109655,25.8084728276242,25.6094148129401,25.8760441185794,"complete"
"O14654","IRS4","Insulin receptor substrate 4",NA,NA,-4.79395633455117,0.00930421713830179,TRUE,24.059034208153,24.3280416808877,22.7061329318731,28.584134170065,28.3260935376207,28.5648501168816,"MNAR"
"O14656;O14656-2","TOR1A","Torsin-1A",NA,NA,-0.826934671708734,0.00120574049306563,FALSE,25.5492861696916,25.4720252247486,25.4756239201701,26.2317808703765,26.3232982239526,26.4226602354074,"complete"
"O14657","TOR1B","Torsin-1B",NA,NA,-0.447004805080098,0.162182828261428,FALSE,25.6856012905842,25.5238142375657,25.6018371695699,25.7929184073303,25.8917951077528,26.467553597877,"complete"
"O14662-2;O14662-4;O14662-5;O14662;O14662-6;O14662-3","STX16","Syntaxin-16",NA,NA,0.591409033637266,0.0254371405886554,FALSE,24.1864994603331,24.2367045357146,24.5845485551975,23.7859609692571,23.6233363499959,23.8242281310804,"complete"
"O14672;O14672-2","ADAM10","Disintegrin and metalloproteinase domain-containing protein 10",NA,NA,-0.544251367377164,0.0131269561810543,FALSE,25.5235059467533,25.3421360290696,25.4640760579387,25.8046453360268,26.0425303687142,26.1152964311521,"complete"
"O14681;O14681-3","EI24","Etoposide-induced protein 2.4 homolog",NA,NA,0.311489676331799,0.139113992984977,FALSE,26.2904017153749,26.0851847543264,25.9617185121801,25.6589760903165,26.0688368355348,25.6750230270347,"complete"
"O14734","ACOT8","Acyl-coenzyme A thioesterase 8",NA,NA,-0.319857935273635,0.0255381323213851,FALSE,27.0844659239493,27.0704940552901,27.2358238083001,27.4524679513935,27.4568460031884,27.4410436387785,"complete"
"O14737;O14737-2","PDCD5","Programmed cell death protein 5",NA,NA,-1.49785469671433,7.96054568863605e-05,TRUE,24.6940830612158,24.8048931597752,24.5754872689672,26.2475186491124,26.0688286182187,26.2516803127701,"complete"
"O14744;O14744-2;O14744-5;O14744-4;O14744-3","PRMT5","Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",NA,NA,-2.16491416734603,0.178652534404425,FALSE,19.157903024989,19.3245516615493,22.5239113806829,22.7156140783425,21.8180325763078,22.967461914609,"MNAR"
"O14745;O14745-2","SLC9A3R1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1",NA,NA,-0.821352523098067,0.0337697324819951,FALSE,24.9390508703523,24.5028521466271,25.0894356179983,25.2876121645304,25.8732234152145,25.834560624527,"complete"
"O14763;O14763-2;O14763-3","TNFRSF10B","Tumor necrosis factor receptor superfamily member 10B",NA,NA,0.0414774471521682,0.733628401691331,FALSE,25.6401757347455,25.4505961481533,25.7249670991406,25.4069747791852,25.6663947412177,25.61793712018,"complete"
"O14773;O14773-2","TPP1","Tripeptidyl-peptidase 1",NA,NA,1.57755757937577,0.000243941659252288,TRUE,29.5554675926532,29.3779055923767,29.4140808889715,27.7206674538176,28.0077492563099,27.8863646257466,"complete"
"O14776;O14776-2;Q5VWI1","TCERG1","Transcription elongation regulator 1",NA,NA,-0.6296271704846,0.0172492313339438,FALSE,26.3397217411806,26.2531147176649,25.9366937845033,26.7420463027536,26.9687019860436,26.7076634660054,"complete"
"O14777","NDC80","Kinetochore protein NDC80 homolog",NA,NA,0.321874126111354,0.0558165510643779,FALSE,25.3644810313526,25.5918500515872,25.3141899390544,NA,25.0787961672866,25.1244695951535,NA
"O14786;O14786-3;O14786-2","NRP1","Neuropilin-1",NA,NA,-2.6898834052882,9.39832160905284e-06,TRUE,23.1957133783197,23.2636910347796,23.3033946671846,26.0311909417022,25.9464564493981,25.8548019050482,"complete"
"O14802","POLR3A","DNA-directed RNA polymerase III subunit RPC1",NA,NA,1.26306021184143,0.021678846819328,TRUE,23.9151394986071,23.6377252372178,23.0184994333786,22.0386078628959,22.6552776382381,22.0882980325452,"MAR"
"O14818;O14818-4;O14818-2;Q8TAA3-2;Q8TAA3-5;Q8TAA3","PSMA7","Proteasome subunit alpha type-7",NA,NA,-0.249181795889236,0.102380429375345,FALSE,25.1469486877949,25.2567431705585,25.4504424412042,25.6179589885752,25.3804819694739,25.6032387291762,"complete"
"O14828;O14828-2","SCAMP3","Secretory carrier-associated membrane protein 3",NA,NA,-0.644427280260633,0.00377017878793538,FALSE,26.3447861309308,26.354857975308,26.4070312974721,26.993115916256,26.928239481955,27.1186018462818,"complete"
"O14832;O14832-2","PHYH","Phytanoyl-CoA dioxygenase, peroxisomal","Matrix","Metabolism > Lipid metabolism",0.0872785771784841,0.723898277343855,FALSE,24.5606569443082,NA,24.6573482958505,24.5011797168649,24.1650490923072,24.8989433195305,NA
"O14874;O14874-3;O14874-2","BCKDK","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial","Matrix","Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex",1.08179606515553,0.000487285151519271,TRUE,28.6753365226669,28.6763373539466,28.8826281647409,27.7047311458467,27.7089337489702,27.5752489510709,"complete"
"O14880","MGST3","Microsomal glutathione S-transferase 3","MOM","Metabolism > Lipid metabolism > Eicosanoid metabolism",0.302717007390068,0.090769465583604,FALSE,29.129624725689,29.3701147252782,29.2076379117532,29.1483765559024,28.7986873575654,28.8521624270824,"complete"
"O14907","TAX1BP3","Tax1-binding protein 3",NA,NA,0.264466536157332,0.244066888144733,FALSE,23.382161635627,23.4184850241017,23.5627107905704,NA,23.3150369145499,23.0649349800015,NA
"O14908;O14908-2","GIPC1","PDZ domain-containing protein GIPC1",NA,NA,-0.198542859751633,0.342171994678003,FALSE,26.4110339036067,26.6704152537978,26.1583552553496,26.792796459142,26.425807659025,26.616828873842,"complete"
"O14910","LIN7A","Protein lin-7 homolog A",NA,NA,0.937796481255035,0.140667530080655,FALSE,25.7324901951203,24.8793440179708,25.6569526949829,23.875757540332,25.2672876475641,24.3123522764128,"complete"
"O14925;Q5SRD1-2;Q5SRD1","TIMM23","Mitochondrial import inner membrane translocase subunit Tim23","MIM","Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway",-0.586780340030099,0.000268913347061864,FALSE,28.9462442873153,28.9655126442275,29.0276597479528,29.5863286233281,29.544700271786,29.5687288044718,"complete"
"O14929;O14929-2","HAT1","Histone acetyltransferase type B catalytic subunit",NA,NA,-0.683888557500097,0.347286318883365,FALSE,22.5466858187626,22.1425376382991,23.1277321723018,22.6848533957696,22.8054786240533,24.3782892820409,"complete"
"O14936-3;O14936-4;O14936-5","CASK","Peripheral plasma membrane protein CASK",NA,NA,-0.486484715900698,0.0625764359684188,FALSE,26.5536530724982,26.2354350783195,26.2588780484012,26.5527669517576,27.0605662781964,26.894087116967,"complete"
"O14949","UQCRQ","Cytochrome b-c1 complex subunit 8","MIM","OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",-1.21797195890067,0.0296425014864739,TRUE,24.833853661305,25.410434182307,25.5821301973133,27.0411721025326,26.1175549941282,26.3216068209665,"complete"
"O14964-2;O14964","HGS","Hepatocyte growth factor-regulated tyrosine kinase substrate",NA,NA,-0.195077824139233,0.510207618713962,FALSE,25.1213031394689,24.8817810019358,25.4735122356401,25.0700110237053,25.2341902207442,25.757628605013,"complete"
"O14974-4;O14974-3;O14974;O14974-5;O14974-2","PPP1R12A","Protein phosphatase 1 regulatory subunit 12A",NA,NA,-0.614819359093065,0.0465330196831435,FALSE,24.5092523985271,24.2044737101809,24.7864442344662,24.8813044954633,25.2903952851811,25.172928639809,"complete"
